,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
46,46.0,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%100.000,9,16/01/2023,400.0,272000.0,,,,,,,,,,
47,47.0,حولي,ض. السلام,خاص,أرض,بيع,%100.000,7,16/01/2023,500.0,800000.0,,,,,,,,,,
48,48.0,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,16/01/2023,488.0,195000.0,,,,,,,,,,
49,49.0,العاصمة,غرناطة,خاص,بيت,بيع,%100.000,1,15/01/2023,510.0,442089.11,,,,,,,,,,
50,50.0,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500.0,501.0,,,,,,,,,,
51,51.0,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500.0,528.0,,,,,,,,,,
52,52.0,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,15/01/2023,550.0,310000.0,,,,,,,,,,
53,53.0,حولي,السالمية,إستثماري,تحت الانشاء,بيع,%20.000,"5,4",15/01/2023,750.0,111.0,,,,,,,,,,
54,54.0,حولي,الشعب,خاص,بيت,بيع,%100.000,1,15/01/2023,500.0,800000.0,,,,,,,,,,
55,55.0,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,1أ,15/01/2023,103.498,83000.0,,,,,,,,,,
56,56.0,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500.0,400.0,,,,,,,,,,
57,57.0,الجهراء,النهضة,خاص,بيت,بيع,%100.000,3,15/01/2023,400.0,370000.0,,,,,,,,,,
58,58.0,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500.0,513.0,,,,,,,,,,
59,59.0,الأحمدي,الرقة,خاص,بيت,بيع,%100.000,7,15/01/2023,400.0,350000.0,,,,,,,,,,
60,60.0,مبارك الكبير,ض.صباح السالم,خاص,بيت,بيع مستحق مشاع,%6.770,9,15/01/2023,300.125,14895.826,,,,,,,,,,
61,61.0,الأحمدي,ض. جابر العلي السالم الصباح,خاص,بيت,بيع,%100.000,2,15/01/2023,392.0,435000.0,,,,,,,,,,
62,62.0,حولي,ض. مبارك العبدالله الصباح,خاص,بيت,بيع,%100.000,3,12/01/2023,416.5,690000.0,,,,,,,,,,
63,63.0,العاصمة,القبلة - مدينه الكويت,تجاري,بناية,بيع,%100.000,9,12/01/2023,209.0,3000000.0,,,,,,,,,,
64,64.0,12345,1,2,3,4,5,,,,,,,,,,,,,,
65,65.0,1,2,3,4,5,,,,,,,,,,,,,,,
66,66.0,,,,,,,,,,,,,,,,,,,,
67,67.0,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,12/01/2023,400.0,300000.0,,,,,,,,,,
68,68.0,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,12/01/2023,500.0,620.0,,,,,,,,,,
69,69.0,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,12/01/2023,70.8,76000.0,,,,,,,,,,
70,70.0,مبارك الكبير,الفنيطيس,خاص,بيت,بيع,%100.000,8,12/01/2023,400.0,837000.0,,,,,,,,,,
71,71.0,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,0,12/01/2023,61.77,42000.0,,,,,,,,,,
72,72.0,حولي,ض. الزهراء,خاص,بيت,بيع مستحق مشاع,%87.500,6,12/01/2023,400.0,586750.0,,,,,,,,,,
73,73.0,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,12/01/2023,497.0,300000.0,,,,,,,,,,
74,74.0,حولي,ض. حطين,خاص,بيت,بيع,%100.000,4,12/01/2023,538.0,750000.0,,,,,,,,,,
75,75.0,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,12/01/2023,500.0,403.0,,,,,,,,,,
76,76.0,الفروانية,غرب عبدالله المبارك,خاص,بيت,بيع,%100.000,7,12/01/2023,400.0,650000.0,,,,,,,,,,
77,77.0,مبارك الكبير,الفنيطيس,خاص,أرض,بيع,%100.000,8,12/01/2023,400.0,772000.0,,,,,,,,,,
78,78.0,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,11/01/2023,554.0,358000.0,,,,,,,,,,
79,79.0,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,1,11/01/2023,400.0,415000.0,,,,,,,,,,
80,80.0,حولي,سلوى,خاص,بيت,بيع,%100.000,8,11/01/2023,375.0,400000.0,,,,,,,,,,
81,81.0,العاصمة,شمال غرب الصليبيخات,خاص,بيت,بيع,%100.000,1,11/01/2023,400.0,749044.8,,,,,,,,,,
82,82.0,الأحمدي,الأحمدي,خاص,بيت,بيع,%100.000,1,11/01/2023,251.0,240000.0,,,,,,,,,,
83,83.0,الأحمدي,شرق الأحمدي,خاص,بيت,بيع,%100.000,2,11/01/2023,251.0,200000.0,,,,,,,,,,
84,84.0,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,11/01/2023,400.0,430000.0,,,,,,,,,,
85,85.0,حولي,الشعب,إستثماري,بناية,بيع,%100.000,8,11/01/2023,889.0,2150000.0,,,,,,,,,,
86,86.0,الأحمدي,الفحيحيل,خاص,بيت,بيع,%100.000,118,11/01/2023,600.0,410000.0,,,,,,,,,,
87,87.0,الأحمدي,مدينه صباح الاحمد البحريه,خاص,بيت,بيع,%100.000,0,10/01/2023,525.0,550000.0,,,,,,,,,,
88,88.0,الأحمدي,مدينه صباح الاحمد البحريه,تجاري,مجمع,بيع,%0.510,0,10/01/2023,2518.0,40000.0,,,,,,,,,,
89,89.0,حولي,الشعب,إستثماري,شقة,بيع,%100.000,0,10/01/2023,123.54,125000.0,,,,,,,,,,
90,90.0,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,10/01/2023,494.0,510000.0,,,,,,,,,,
91,91.0,الأحمدي,الصباحية,خاص,بيت,بيع,%100.000,1,10/01/2023,600.0,400000.0,,,,,,,,,,
92,92.0,الجهراء,الواحة,خاص,بيت,بيع,%7.720,2,10/01/2023,300.0,17757.02,,,,,,,,,,
93,93.0,حولي,ض. السلام,خاص,أرض,بيع,%100.000,6,10/01/2023,375.0,490000.0,,,,,,,,,,
94,94.0,مبارك الكبير,القصور,خاص,بيت,بيع,%100.000,6,10/01/2023,400.0,380000.0,,,,,,,,,,
95,95.0,الأحمدي,مدينه صباح الاحمد البحريه,تجاري,محل,بيع,%100.000,0,10/01/2023,67.069,40000.0,,,,,,,,,,
96,96.0,الأحمدي,الرقة,خاص,بيت,بيع,%100.000,1,09/01/2023,400.0,24600.0,,,,,,,,,,
97,97.0,12345,1,2,3,4,5,,,,,,,,,,,,,,
98,98.0,1,2,3,4,5,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,العاصمة,م.جابر الاحمد السكنيه,خاص,شقة,بيع,%100.000,0,18/01/2023,349.161,220000
2,,,,,,,,,,,,الأحمدي,شرق الرقة,خاص,أرض,بيع,%100.000,0,18/01/2023,500,400000
3,,,,,,,,,,,,الأحمدي,المهبولة,إستثماري,ارض,بيع,%100.000,أ/3,18/01/2023,487.5,585000
4,,,,,,,,,,,,العاصمة,م.جابر الاحمد السكنيه,خاص,بيت,بيع,%100.000,7,18/01/2023,400,540000
5,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,5,18/01/2023,600,250000
6,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,2,18/01/2023,600,300000
7,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد السكنيه,خاص,بيت,بيع,%100.000,3,18/01/2023,600,295000
8,,,,,,,,,,,,مبارك الكبير,ض.صباح السالم,خاص,بيت,بيع,%50.000,6,18/01/2023,417.9,220000
9,,,,,,,,,,,,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%15.380,6,18/01/2023,400,35000
10,,,,,,,,,,,,الفروانية,ض.صباح الناصر,خاص,بيت,بيع,%100.000,6,18/01/2023,750,380000
11,,,,,,,,,,,,العاصمة,م.جابر الاحمد السكنيه,خاص,بيت,بيع,%100.000,5,18/01/2023,400,600000
12,,,,,,,,,,,,الفروانية,الفروانية,إستثماري,بناية,بيع مستحق مشاع,%100.000,62,18/01/2023,548.5,970000
13,,,,,,,,,,,,الجهراء,القصر,خاص,بيت,بيع,%100.000,4ا,18/01/2023,1000,900000
14,,,,,,,,,,,,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,0,18/01/2023,102.67,85000
15,,,,,,,,,,,,حولي,ض. السلام,خاص,بيت,بيع,%100.000,4,18/01/2023,421.5,570000
16,,,,,,,,,,,,حولي,السالمية,إستثماري,شقة,بيع,%100.000,0,18/01/2023,79.44,82000
17,,,,,,,,,,,,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,18/01/2023,200.15,180000
18,,,,,,,,,,,,الفروانية,جليب الشيوخ,خاص,بيت,بيع,%100.000,13,18/01/2023,750,969134.08
19,,,,,,,,,,,,مبارك الكبير,الفنيطيس,خاص,بيت,بيع,%100.000,4,18/01/2023,375,560000
20,,,,,,,,,,,,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,3,17/01/2023,400,470000
21,,,,,,,,,,,,حولي,سلوى,خاص,بيت,بيع,%100.000,12,17/01/2023,679.5,630000
22,,,,,,,,,,,,الفروانية,الرقعي,إستثماري,بناية,بيع,%100.000,2,17/01/2023,750,1750000
23,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,3,17/01/2023,500,730000
24,,,,,,,,,,,,الأحمدي,الوفرة السكنية,خاص,بيت,بيع,%100.000,5,17/01/2023,600,245000
25,,,,,,,,,,,,حولي,ض.الصديق,خاص,أرض,بيع,%100.000,3,17/01/2023,600,6555000
26,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,17/01/2023,400,485000
27,,,,,,,,,,,,حولي,ض.الصديق,خاص,أرض,بيع,%100.000,3,17/01/2023,500,580000
28,,,,,,,,,,,,مبارك الكبير,مبارك الكبير,خاص,بيت,بيع,%100.000,2,17/01/2023,400,325000
29,,,,,,,,,,,,الفروانية,الرابية,خاص,بيت,بيع,%100.000,1,17/01/2023,357,355000
30,,,,,,,,,,,,العاصمة,القبلة - مدينه الكويت,تجاري,بناية,بيع,%100.000,7,16/01/2023,144,510000
31,,,,,,,,,,,,12345,1,2,3,4,5,,,,
32,,,,,,,,,,,,1,2,3,4,5,,,,,
33,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,حولي,ض. الزهراء,خاص,أرض,بيع,%100.000,2,16/01/2023,400,111
35,,,,,,,,,,,,الفروانية,الفروانية,إستثماري,ارض,بيع,%100.000,58,16/01/2023,924,1930000
36,,,,,,,,,,,,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,16/01/2023,150.08,151
37,,,,,,,,,,,,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%100.000,1,16/01/2023,400,215000
38,,,,,,,,,,,,مبارك الكبير,غرب أبو فطيرة الحرفية,حرفي,قسيمة حرفية,بيع,%100.000,0,16/01/2023,500,2200000
39,,,,,,,,,,,,مبارك الكبير,القصور,خاص,بيت,بيع,%100.000,3,16/01/2023,400,415000
40,,,,,,,,,,,,الفروانية,غرب عبدالله المبارك,خاص,بيت,بيع,%100.000,4,16/01/2023,400,455000
41,,,,,,,,,,,,الأحمدي,المهبولة,إستثماري,بناية,بيع,%100.000,2,16/01/2023,500,820000
42,,,,,,,,,,,,العاصمة,الخالدية,خاص,أرض,تخارج بمقابل,%19.440,1,16/01/2023,667,50000
43,,,,,,,,,,,,حولي,ض. الزهراء,خاص,أرض,بيع,%100.000,2,16/01/2023,400,111
44,,,,,,,,,,,,مبارك الكبير,ض.صباح السالم,إستثماري,شقة,بيع,%100.000,2,16/01/2023,106.25,120000
45,,,,,,,,,,,,الفروانية,جليب الشيوخ,خاص,بيت,تخارج بمقابل,%19.440,1,16/01/2023,500,50000
46,,,,,,,,,,,,الأحمدي,ض. علي صباح السالم,خاص,بيت,بيع,%100.000,9,16/01/2023,400,272000
47,,,,,,,,,,,,حولي,ض. السلام,خاص,أرض,بيع,%100.000,7,16/01/2023,500,800000
48,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,16/01/2023,488,195000
49,,,,,,,,,,,,العاصمة,غرناطة,خاص,بيت,بيع,%100.000,1,15/01/2023,510,442089.11
50,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,501
51,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,528
52,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,15/01/2023,550,310000
53,,,,,,,,,,,,حولي,السالمية,إستثماري,تحت الانشاء,بيع,%20.000,"5,4",15/01/2023,750,111
54,,,,,,,,,,,,حولي,الشعب,خاص,بيت,بيع,%100.000,1,15/01/2023,500,800000
55,,,,,,,,,,,,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,1أ,15/01/2023,103.498,83000
56,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,400
57,,,,,,,,,,,,الجهراء,النهضة,خاص,بيت,بيع,%100.000,3,15/01/2023,400,370000
58,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,15/01/2023,500,513
59,,,,,,,,,,,,الأحمدي,الرقة,خاص,بيت,بيع,%100.000,7,15/01/2023,400,350000
60,,,,,,,,,,,,مبارك الكبير,ض.صباح السالم,خاص,بيت,بيع مستحق مشاع,%6.770,9,15/01/2023,300.125,14895.826
61,,,,,,,,,,,,الأحمدي,ض. جابر العلي السالم الصباح,خاص,بيت,بيع,%100.000,2,15/01/2023,392,435000
62,,,,,,,,,,,,حولي,ض. مبارك العبدالله الصباح,خاص,بيت,بيع,%100.000,3,12/01/2023,416.5,690000
63,,,,,,,,,,,,العاصمة,القبلة - مدينه الكويت,تجاري,بناية,بيع,%100.000,9,12/01/2023,209,3000000
64,,,,,,,,,,,,12345,1,2,3,4,5,,,,
65,,,,,,,,,,,,1,2,3,4,5,,,,,
66,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,12/01/2023,400,300000
68,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,12/01/2023,500,620
69,,,,,,,,,,,,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,12/01/2023,70.8,76000
70,,,,,,,,,,,,مبارك الكبير,الفنيطيس,خاص,بيت,بيع,%100.000,8,12/01/2023,400,837000
71,,,,,,,,,,,,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,0,12/01/2023,61.77,42000
72,,,,,,,,,,,,حولي,ض. الزهراء,خاص,بيت,بيع مستحق مشاع,%87.500,6,12/01/2023,400,586750
73,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,12/01/2023,497,300000
74,,,,,,,,,,,,حولي,ض. حطين,خاص,بيت,بيع,%100.000,4,12/01/2023,538,750000
75,,,,,,,,,,,,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,12/01/2023,500,403
76,,,,,,,,,,,,الفروانية,غرب عبدالله المبارك,خاص,بيت,بيع,%100.000,7,12/01/2023,400,650000
77,,,,,,,,,,,,مبارك الكبير,الفنيطيس,خاص,أرض,بيع,%100.000,8,12/01/2023,400,772000
78,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,11/01/2023,554,358000
79,,,,,,,,,,,,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,1,11/01/2023,400,415000
80,,,,,,,,,,,,حولي,سلوى,خاص,بيت,بيع,%100.000,8,11/01/2023,375,400000
81,,,,,,,,,,,,العاصمة,شمال غرب الصليبيخات,خاص,بيت,بيع,%100.000,1,11/01/2023,400,749044.8
82,,,,,,,,,,,,الأحمدي,الأحمدي,خاص,بيت,بيع,%100.000,1,11/01/2023,251,240000
83,,,,,,,,,,,,الأحمدي,شرق الأحمدي,خاص,بيت,بيع,%100.000,2,11/01/2023,251,200000
84,,,,,,,,,,,,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,11/01/2023,400,430000
85,,,,,,,,,,,,حولي,الشعب,إستثماري,بناية,بيع,%100.000,8,11/01/2023,889,2150000
86,,,,,,,,,,,,الأحمدي,الفحيحيل,خاص,بيت,بيع,%100.000,118,11/01/2023,600,410000
87,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,بيت,بيع,%100.000,0,10/01/2023,525,550000
88,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,تجاري,مجمع,بيع,%0.510,0,10/01/2023,2518,40000
89,,,,,,,,,,,,حولي,الشعب,إستثماري,شقة,بيع,%100.000,0,10/01/2023,123.54,125000
90,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,10/01/2023,494,510000
91,,,,,,,,,,,,الأحمدي,الصباحية,خاص,بيت,بيع,%100.000,1,10/01/2023,600,400000
92,,,,,,,,,,,,الجهراء,الواحة,خاص,بيت,بيع,%7.720,2,10/01/2023,300,17757.02
93,,,,,,,,,,,,حولي,ض. السلام,خاص,أرض,بيع,%100.000,6,10/01/2023,375,490000
94,,,,,,,,,,,,مبارك الكبير,القصور,خاص,بيت,بيع,%100.000,6,10/01/2023,400,380000
95,,,,,,,,,,,,الأحمدي,مدينه صباح الاحمد البحريه,تجاري,محل,بيع,%100.000,0,10/01/2023,67.069,40000
96,,,,,,,,,,,,الأحمدي,الرقة,خاص,بيت,بيع,%100.000,1,09/01/2023,400,24600
97,,,,,,,,,,,,12345,1,2,3,4,5,,,,
98,,,,,,,,,,,,1,2,3,4,5,,,,,
